semester,hallticket,subject_code,subject_name,internal_marks,external_marks,total,cgpa,grade,credits
Semester 1,246BIA73001,CS101,Mathematics,39,35,74,7.5,B+,4
Semester 1,246BIA73001,CS102,Physics,38,41,79,7.5,B+,4
Semester 1,246BIA73001,CS103,Chemistry,30,28,58,5.8,C+,4
Semester 1,246BIA73001,CS201,Data Structures,50,42,92,9.3,A+,4
Semester 1,246BIA73001,CS202,Operating Systems,25,40,65,6.3,B,4
Semester 1,246BIA73001,CS203,Database Systems,25,28,53,6.1,B,4
Semester 1,246BIA73001,CS301,Machine Learning,25,29,54,4.5,C,4
Semester 1,246BIA73001,CS302,Computer Networks,33,43,76,7.8,B+,4
Semester 1,246BIA73001,CS303,Software Engineering,32,36,68,6.7,B,4
Semester 1,246BIA73001,CS304,Artificial Intelligence,47,30,77,8.3,A,4
Semester 1,246BIA73002,CS101,Mathematics,32,40,72,7.9,B+,4
Semester 1,246BIA73002,CS102,Physics,50,39,89,9.6,A+,4
Semester 1,246BIA73002,CS103,Chemistry,35,32,67,6.8,B,4
Semester 1,246BIA73002,CS201,Data Structures,49,33,82,8.4,A,4
Semester 1,246BIA73002,CS202,Operating Systems,45,34,79,7.1,B+,4
Semester 1,246BIA73002,CS203,Database Systems,49,31,80,8.2,A,4
Semester 1,246BIA73002,CS301,Machine Learning,50,28,78,7.1,B+,4
Semester 1,246BIA73002,CS302,Computer Networks,34,37,71,7.7,B+,4
Semester 1,246BIA73002,CS303,Software Engineering,49,30,79,7.5,B+,4
Semester 1,246BIA73002,CS304,Artificial Intelligence,34,44,78,8.7,A,4
Semester 1,246BIA73003,CS101,Mathematics,36,25,61,5.5,C+,4
Semester 1,246BIA73003,CS102,Physics,31,34,65,6.5,B,4
Semester 1,246BIA73003,CS103,Chemistry,45,26,71,8.1,A,4
Semester 1,246BIA73003,CS201,Data Structures,40,39,79,8.6,A,4
Semester 1,246BIA73003,CS202,Operating Systems,25,32,57,6.0,B,4
Semester 1,246BIA73003,CS203,Database Systems,29,29,58,6.4,B,4
Semester 1,246BIA73003,CS301,Machine Learning,42,39,81,7.6,B+,4
Semester 1,246BIA73003,CS302,Computer Networks,42,48,90,9.8,A+,4
Semester 1,246BIA73003,CS303,Software Engineering,41,50,91,8.6,A,4
Semester 1,246BIA73003,CS304,Artificial Intelligence,34,48,82,8.9,A,4
Semester 1,246BIA73004,CS101,Mathematics,35,29,64,6.1,B,4
Semester 1,246BIA73004,CS102,Physics,44,42,86,8.8,A,4
Semester 1,246BIA73004,CS103,Chemistry,40,25,65,6.1,B,4
Semester 1,246BIA73004,CS201,Data Structures,48,25,73,8.3,A,4
Semester 1,246BIA73004,CS202,Operating Systems,50,37,87,7.8,B+,4
Semester 1,246BIA73004,CS203,Database Systems,34,28,62,6.9,B,4
Semester 1,246BIA73004,CS301,Machine Learning,34,28,62,7.0,B+,4
Semester 1,246BIA73004,CS302,Computer Networks,37,27,64,5.5,C+,4
Semester 1,246BIA73004,CS303,Software Engineering,28,44,72,7.8,B+,4
Semester 1,246BIA73004,CS304,Artificial Intelligence,29,36,65,6.8,B,4
Semester 1,246BIA73005,CS101,Mathematics,50,43,93,8.6,A,4
Semester 1,246BIA73005,CS102,Physics,36,32,68,5.8,C+,4
Semester 1,246BIA73005,CS103,Chemistry,37,31,68,6.5,B,4
Semester 1,246BIA73005,CS201,Data Structures,41,43,84,7.8,B+,4
Semester 1,246BIA73005,CS202,Operating Systems,28,35,63,5.6,C+,4
Semester 1,246BIA73005,CS203,Database Systems,46,26,72,7.6,B+,4
Semester 1,246BIA73005,CS301,Machine Learning,43,36,79,8.8,A,4
Semester 1,246BIA73005,CS302,Computer Networks,29,42,71,6.6,B,4
Semester 1,246BIA73005,CS303,Software Engineering,38,31,69,7.3,B+,4
Semester 1,246BIA73005,CS304,Artificial Intelligence,30,40,70,7.0,B+,4
Semester 1,246BIA73006,CS101,Mathematics,46,43,89,9.4,A+,4
Semester 1,246BIA73006,CS102,Physics,42,49,91,8.3,A,4
Semester 1,246BIA73006,CS103,Chemistry,44,27,71,8.0,A,4
Semester 1,246BIA73006,CS201,Data Structures,37,48,85,8.0,A,4
Semester 1,246BIA73006,CS202,Operating Systems,30,27,57,5.8,C+,4
Semester 1,246BIA73006,CS203,Database Systems,46,47,93,8.6,A,4
Semester 1,246BIA73006,CS301,Machine Learning,26,34,60,6.7,B,4
Semester 1,246BIA73006,CS302,Computer Networks,48,31,79,7.7,B+,4
Semester 1,246BIA73006,CS303,Software Engineering,40,32,72,7.7,B+,4
Semester 1,246BIA73006,CS304,Artificial Intelligence,35,33,68,7.8,B+,4
Semester 1,246BIA73007,CS101,Mathematics,41,35,76,7.4,B+,4
Semester 1,246BIA73007,CS102,Physics,35,43,78,7.4,B+,4
Semester 1,246BIA73007,CS103,Chemistry,25,38,63,6.0,B,4
Semester 1,246BIA73007,CS201,Data Structures,50,49,99,9.7,A+,4
Semester 1,246BIA73007,CS202,Operating Systems,32,39,71,6.9,B,4
Semester 1,246BIA73007,CS203,Database Systems,26,28,54,6.3,B,4
Semester 1,246BIA73007,CS301,Machine Learning,26,46,72,6.8,B,4
Semester 1,246BIA73007,CS302,Computer Networks,46,29,75,6.8,B,4
